 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
413,194,255,255,255,816.943,306.892,816.943,306.892,24
414,200,255,255,255,575.835,351.305,575.835,351.305,24
415,17,255,255,255,762.912,349.088,762.912,349.088,24
416,9,255,255,255,766.500,374.167,766.500,374.167,24
417,368,255,255,255,649.280,388.274,649.280,388.274,24
418,255,255,255,255,817.763,420.218,817.763,420.218,24
419,249,255,255,255,501.472,430.564,501.472,430.564,24
420,221,255,255,255,631.410,446.179,631.410,446.179,24
421,372,255,255,255,958.258,452.425,958.258,452.425,24
422,314,255,255,255,813.535,490.780,813.535,490.780,24
423,180,255,255,255,648.694,492.683,648.694,492.683,24
424,253,255,255,255,566.117,507.571,566.117,507.571,24
425,21,255,255,255,757.548,503.167,757.548,503.167,24
426,84,255,255,255,755.571,523.262,755.571,523.262,24
427,242,255,255,255,743.376,573.959,743.376,573.959,24
428,104,255,255,255,794.135,584.933,794.135,584.933,24
429,2,255,255,255,394,221.500,394,221.500,25
430,309,255,255,255,761.468,299.694,761.468,299.694,25
431,188,255,255,255,818.059,312.309,818.059,312.309,25
432,212,255,255,255,576.514,354.750,576.514,354.750,25
433,23,255,255,255,757.935,367.674,757.935,367.674,25
434,367,255,255,255,649.707,392.775,649.707,392.775,25
435,268,255,255,255,817.601,426.030,817.601,426.030,25
436,261,255,255,255,501.749,433.400,501.749,433.400,25
437,215,255,255,255,631.514,450.826,631.514,450.826,25
438,337,255,255,255,957.565,458.248,957.565,458.248,25
439,316,255,255,255,813.032,496.522,813.032,496.522,25
440,164,255,255,255,648.579,497.067,648.579,497.067,25
441,229,255,255,255,565.190,510.408,565.190,510.408,25
442,2,255,255,255,757.500,507,757.500,507,25
443,3,255,255,255,758.167,515.167,758.167,515.167,25
444,10,255,255,255,751.400,516.700,751.400,516.700,25
445,1,255,255,255,758.500,524.500,758.500,524.500,25
446,30,255,255,255,755.633,531.433,755.633,531.433,25
447,228,255,255,255,742.123,577.662,742.123,577.662,25
448,85,255,255,255,794.218,588.559,794.218,588.559,25
449,7,255,255,255,393.500,221.500,393.500,221.500,26
450,302,255,255,255,763.295,303.742,763.295,303.742,26
451,196,255,255,255,819.005,316.980,819.005,316.980,26
452,210,255,255,255,577.667,358.252,577.667,358.252,26
453,22,255,255,255,766,363.864,766,363.864,26
454,364,255,255,255,650.569,396.555,650.569,396.555,26
455,262,255,255,255,818.183,431.588,818.183,431.588,26
456,245,255,255,255,502.267,436.671,502.267,436.671,26
457,230,255,255,255,631.617,454.648,631.617,454.648,26
458,339,255,255,255,957.119,464.379,957.119,464.379,26
459,155,255,255,255,647.919,500.332,647.919,500.332,26
460,302,255,255,255,812.652,501.517,812.652,501.517,26
461,241,255,255,255,565.774,513.600,565.774,513.600,26
462,2,255,255,255,755,510.500,755,510.500,26
463,12,255,255,255,756.417,517.917,756.417,517.917,26
464,225,255,255,255,740.696,580.780,740.696,580.780,26
465,87,255,255,255,792.523,592.489,792.523,592.489,26
466,319,255,255,255,764.346,307.578,764.346,307.578,27
467,197,255,255,255,820.008,321.718,820.008,321.718,27
468,205,255,255,255,578.749,361.271,578.749,361.271,27
469,23,255,255,255,765.891,361.543,765.891,361.543,27
470,1,255,255,255,768.500,375.500,768.500,375.500,27
471,2,255,255,255,763,384.500,763,384.500,27
472,371,255,255,255,651.249,399.956,651.249,399.956,27
473,258,255,255,255,818.616,436.097,818.616,436.097,27
474,238,255,255,255,503.223,438.782,503.223,438.782,27
475,225,255,255,255,632.296,458.478,632.296,458.478,27
476,353,255,255,255,956.636,469.613,956.636,469.613,27
477,163,255,255,255,648.193,503.666,648.193,503.666,27
478,301,255,255,255,812.487,505.769,812.487,505.769,27
479,233,255,255,255,565.646,516.303,565.646,516.303,27
480,13,255,255,255,756.577,521.885,756.577,521.885,27
481,24,255,255,255,755.167,533.292,755.167,533.292,27
482,1,255,255,255,751.500,540.500,751.500,540.500,27
483,226,255,255,255,740.137,583.783,740.137,583.783,27
484,81,255,255,255,791.994,595.722,791.994,595.722,27
485,2,255,255,255,430,156.500,430,156.500,28
486,317,255,255,255,765.292,311.052,765.292,311.052,28
487,201,255,255,255,821.261,325.500,821.261,325.500,28
488,200,255,255,255,579.865,363.110,579.865,363.110,28
